Progress: 2%, score: 207
Progress: 4%, score: 199
Progress: 6%, score: 194
Progress: 8%, score: 195
Progress: 10%, score: 198
Progress: 12%, score: 198
Progress: 14%, score: 205
Progress: 16%, score: 199
Progress: 18%, score: 207
Progress: 20%, score: 204
Progress: 22%, score: 194
Progress: 24%, score: 200
Progress: 26%, score: 204
Progress: 28%, score: 193
Progress: 30%, score: 197
Progress: 32%, score: 202
Progress: 34%, score: 198
Progress: 36%, score: 205
Progress: 38%, score: 203
Progress: 40%, score: 196
Progress: 42%, score: 203
Progress: 44%, score: 214
Progress: 46%, score: 200
Progress: 48%, score: 208
Progress: 50%, score: 194
Progress: 52%, score: 206
Progress: 54%, score: 197
Progress: 56%, score: 197
Progress: 57%, score: 197
Progress: 60%, score: 186
Progress: 64%, score: 204
Progress: 66%, score: 204
Progress: 68%, score: 199
Progress: 70%, score: 202
Progress: 72%, score: 200
Progress: 74%, score: 208
Progress: 76%, score: 200
Progress: 78%, score: 200
Progress: 80%, score: 201
Progress: 82%, score: 200
Progress: 84%, score: 196
Progress: 86%, score: 197
Progress: 88%, score: 202
Progress: 90%, score: 203
Progress: 92%, score: 197
Progress: 94%, score: 188
Progress: 96%, score: 198
Progress: 98%, score: 208
Progress: 100%, score: 202
