Progress: 2%, score: 197
Progress: 4%, score: 188
Progress: 6%, score: 196
Progress: 8%, score: 202
Progress: 10%, score: 199
Progress: 12%, score: 191
Progress: 14%, score: 203
Progress: 16%, score: 194
Progress: 18%, score: 194
Progress: 20%, score: 193
Progress: 22%, score: 204
Progress: 24%, score: 196
Progress: 26%, score: 201
Progress: 28%, score: 198
Progress: 30%, score: 202
Progress: 32%, score: 193
Progress: 34%, score: 188
Progress: 36%, score: 194
Progress: 38%, score: 195
Progress: 40%, score: 204
Progress: 42%, score: 198
Progress: 44%, score: 201
Progress: 46%, score: 198
Progress: 48%, score: 190
Progress: 50%, score: 196
Progress: 52%, score: 196
Progress: 54%, score: 196
Progress: 56%, score: 197
Progress: 57%, score: 201
Progress: 60%, score: 195
Progress: 62%, score: 199
Progress: 64%, score: 203
Progress: 66%, score: 206
Progress: 68%, score: 191
Progress: 70%, score: 199
Progress: 72%, score: 203
Progress: 74%, score: 197
Progress: 76%, score: 199
Progress: 78%, score: 196
Progress: 80%, score: 159
Progress: 82%, score: 196
Progress: 84%, score: 196
Progress: 86%, score: 168
Progress: 88%, score: 198
Progress: 90%, score: 195
Progress: 92%, score: 196
Progress: 94%, score: 192
Progress: 96%, score: 197
Progress: 98%, score: 197
Progress: 100%, score: 194
