Progress: 2%, score: 205
Progress: 4%, score: 212
Progress: 6%, score: 212
Progress: 8%, score: 201
Progress: 10%, score: 210
Progress: 12%, score: 201
Progress: 14%, score: 207
Progress: 16%, score: 205
Progress: 18%, score: 214
Progress: 20%, score: 200
Progress: 22%, score: 214
Progress: 24%, score: 202
Progress: 26%, score: 218
Progress: 28%, score: 210
Progress: 30%, score: 210
Progress: 32%, score: 206
Progress: 34%, score: 206
Progress: 36%, score: 212
Progress: 38%, score: 208
Progress: 40%, score: 207
Progress: 42%, score: 216
Progress: 44%, score: 203
Progress: 46%, score: 207
Progress: 48%, score: 199
Progress: 50%, score: 212
Progress: 52%, score: 206
Progress: 54%, score: 207
Progress: 56%, score: 208
Progress: 57%, score: 197
Progress: 60%, score: 216
Progress: 62%, score: 206
Progress: 64%, score: 212
Progress: 66%, score: 208
Progress: 68%, score: 207
Progress: 70%, score: 210
Progress: 72%, score: 205
Progress: 74%, score: 212
Progress: 76%, score: 209
Progress: 78%, score: 205
Progress: 80%, score: 210
Progress: 82%, score: 199
Progress: 84%, score: 204
Progress: 86%, score: 206
Progress: 88%, score: 208
Progress: 90%, score: 205
Progress: 92%, score: 213
Progress: 94%, score: 208
Progress: 96%, score: 208
Progress: 98%, score: 205
Progress: 100%, score: 215
