Progress: 3%, score: -9
Progress: 6%, score: -13
Progress: 10%, score: -4
Progress: 13%, score: -8
Progress: 16%, score: -10
Progress: 20%, score: -10
Progress: 23%, score: -7
Progress: 26%, score: -10
Progress: 30%, score: -6
Progress: 33%, score: -7
Progress: 36%, score: -9
Progress: 40%, score: -4
Progress: 43%, score: -6
Progress: 46%, score: -5
Progress: 50%, score: -9
Progress: 53%, score: -9
Progress: 56%, score: -7
Progress: 60%, score: -8
Progress: 63%, score: -8
Progress: 66%, score: -4
Progress: 70%, score: -6
Progress: 73%, score: -12
Progress: 76%, score: -9
Progress: 80%, score: -9
Progress: 83%, score: -6
Progress: 86%, score: -5
Progress: 90%, score: -5
Progress: 93%, score: -7
Progress: 96%, score: -6
Progress: 100%, score: -7
