Progress: 3%, score: -10
Progress: 6%, score: -13
Progress: 10%, score: -13
Progress: 13%, score: -11
Progress: 16%, score: -11
Progress: 20%, score: -15
Progress: 23%, score: -12
Progress: 26%, score: -11
Progress: 30%, score: -20
Progress: 33%, score: -11
Progress: 36%, score: -6
Progress: 40%, score: -11
Progress: 43%, score: -9
Progress: 46%, score: -7
Progress: 50%, score: -7
Progress: 53%, score: -18
Progress: 56%, score: -17
Progress: 60%, score: -8
Progress: 63%, score: -10
Progress: 66%, score: -12
Progress: 70%, score: -14
Progress: 73%, score: -10
Progress: 76%, score: -13
Progress: 80%, score: -14
Progress: 83%, score: -10
Progress: 86%, score: -14
Progress: 90%, score: -10
Progress: 93%, score: -16
Progress: 96%, score: -16
Progress: 100%, score: -8
