Progress: 3%, score: -8
Progress: 6%, score: -12
Progress: 10%, score: -11
Progress: 13%, score: -11
Progress: 16%, score: -9
Progress: 20%, score: -13
Progress: 23%, score: -15
Progress: 26%, score: -7
Progress: 30%, score: -10
Progress: 33%, score: -17
Progress: 36%, score: -10
Progress: 40%, score: -10
Progress: 43%, score: -12
Progress: 46%, score: -15
Progress: 50%, score: -8
Progress: 53%, score: -8
Progress: 56%, score: -17
Progress: 60%, score: -12
Progress: 63%, score: -10
Progress: 66%, score: -13
Progress: 70%, score: -12
Progress: 73%, score: -10
Progress: 76%, score: -6
Progress: 80%, score: -5
Progress: 83%, score: -13
Progress: 86%, score: -8
Progress: 90%, score: -7
Progress: 93%, score: -10
Progress: 96%, score: -16
Progress: 100%, score: -7
